truth,temporal_asymmetry,initial_m,final_m,regime_code,regime
-0.76,-0.18000000000000005,0.6,-0.9279099260591479,0,neutral
-0.76,-0.16000000000000003,0.6,-0.9278268434286858,0,neutral
-0.76,-0.14,0.6,-0.927714491044171,0,neutral
-0.76,-0.12,0.6,0.8273784448175417,1,self_fulfilling
-0.76,-0.09999999999999998,0.6,0.8503961602870513,1,self_fulfilling
-0.76,-0.08000000000000007,0.6,0.863140653704037,1,self_fulfilling
-0.76,-0.06000000000000005,0.6,0.871152491288326,1,self_fulfilling
-0.76,-0.040000000000000036,0.6,0.8764989780734768,1,self_fulfilling
-0.76,-0.020000000000000018,0.6,0.8801906593097871,1,self_fulfilling
-0.76,0.0,0.6,0.8827949678264334,1,self_fulfilling
-0.76,0.020000000000000018,0.6,0.8846585144327004,1,self_fulfilling
-0.76,0.039999999999999925,0.6,0.8860050903965494,1,self_fulfilling
-0.76,0.05999999999999994,0.6,0.8869848072097574,1,self_fulfilling
-0.76,0.07999999999999996,0.6,0.8877011061199201,1,self_fulfilling
-0.76,0.09999999999999998,0.6,0.8882266616621747,1,self_fulfilling
-0.76,0.12,0.6,0.8886132549252967,1,self_fulfilling
-0.76,0.14,0.6,0.8888981606887533,1,self_fulfilling
-0.76,0.15999999999999992,0.6,0.8891084139641172,1,self_fulfilling
-0.76,0.17999999999999994,0.6,0.8892637317920478,1,self_fulfilling
-0.76,0.19999999999999996,0.6,0.8893785528922089,1,self_fulfilling
-0.76,0.21999999999999997,0.6,0.889463482577055,1,self_fulfilling
-0.76,0.24,0.6,0.8895263278538438,1,self_fulfilling
-0.76,0.26,0.6,0.8895728452451043,1,self_fulfilling
-0.76,0.28,0.6,0.8896072845109729,1,self_fulfilling
-0.76,0.30000000000000004,0.6,0.8896327858695453,1,self_fulfilling
-0.76,0.32000000000000006,0.6,0.8896516712276199,1,self_fulfilling
-0.76,0.3400000000000001,0.6,0.889665658272714,1,self_fulfilling
-0.76,0.3599999999999999,0.6,0.88967601817094,1,self_fulfilling
-0.76,0.3799999999999999,0.6,0.8896836918971941,1,self_fulfilling
-0.76,0.3999999999999999,0.6,0.8896893761435313,1,self_fulfilling
-0.76,0.41999999999999993,0.6,0.8896935868131073,1,self_fulfilling
-0.76,0.43999999999999995,0.6,0.889696705976234,1,self_fulfilling
-0.76,0.45999999999999996,0.6,0.8896990166116434,1,self_fulfilling
-0.76,0.48,0.6,0.8897007283189682,1,self_fulfilling
